ghi,period_end,period
0,2014-01-01T01:00:00+00:00,PT60M
0,2014-01-01T02:00:00+00:00,PT60M
0,2014-01-01T03:00:00+00:00,PT60M
0,2014-01-01T04:00:00+00:00,PT60M
0,2014-01-01T05:00:00+00:00,PT60M
0,2014-01-01T06:00:00+00:00,PT60M
0,2014-01-01T07:00:00+00:00,PT60M
12,2014-01-01T08:00:00+00:00,PT60M
99,2014-01-01T09:00:00+00:00,PT60M
287,2014-01-01T10:00:00+00:00,PT60M
408,2014-01-01T11:00:00+00:00,PT60M
392,2014-01-01T12:00:00+00:00,PT60M
354,2014-01-01T13:00:00+00:00,PT60M
412,2014-01-01T14:00:00+00:00,PT60M
290,2014-01-01T15:00:00+00:00,PT60M
134,2014-01-01T16:00:00+00:00,PT60M
28,2014-01-01T17:00:00+00:00,PT60M
0,2014-01-01T18:00:00+00:00,PT60M
0,2014-01-01T19:00:00+00:00,PT60M
0,2014-01-01T20:00:00+00:00,PT60M
0,2014-01-01T21:00:00+00:00,PT60M
0,2014-01-01T22:00:00+00:00,PT60M
0,2014-01-01T23:00:00+00:00,PT60M
0,2014-01-02T00:00:00+00:00,PT60M
0,2014-01-02T01:00:00+00:00,PT60M
0,2014-01-02T02:00:00+00:00,PT60M
0,2014-01-02T03:00:00+00:00,PT60M
0,2014-01-02T04:00:00+00:00,PT60M
0,2014-01-02T05:00:00+00:00,PT60M
0,2014-01-02T06:00:00+00:00,PT60M
0,2014-01-02T07:00:00+00:00,PT60M
4,2014-01-02T08:00:00+00:00,PT60M
22,2014-01-02T09:00:00+00:00,PT60M
45,2014-01-02T10:00:00+00:00,PT60M
76,2014-01-02T11:00:00+00:00,PT60M
107,2014-01-02T12:00:00+00:00,PT60M
122,2014-01-02T13:00:00+00:00,PT60M
100,2014-01-02T14:00:00+00:00,PT60M
90,2014-01-02T15:00:00+00:00,PT60M
51,2014-01-02T16:00:00+00:00,PT60M
17,2014-01-02T17:00:00+00:00,PT60M
0,2014-01-02T18:00:00+00:00,PT60M
0,2014-01-02T19:00:00+00:00,PT60M
0,2014-01-02T20:00:00+00:00,PT60M
0,2014-01-02T21:00:00+00:00,PT60M
