palabras,emojis
"amor,corazón","❤️💓"
"felicidad,sonrisa","😊😄"
"miedo,terror","😱👻"
"enojo,rabia","😡😤"
"lluvia,tristeza","🌧️😢"
"sol,verano","☀️😎"
"nieve,invierno","❄️⛄"
"música,concierto","🎶🎤"
"cine,película","🎬🍿"
"comida,pizza","🍕😋"
"trabajo,oficina","💼🖥️"
"viaje,avión","✈️🌍"
"naturaleza,relajación","🌳😌"
"playa,verano","🏖️☀️"
"invierno,frío","❄️🧥"
"familia,amor","👨‍👩‍👧‍👦❤️"
"amistad,diversión","👯‍♂️🎉"
"libro,lectura","📚🧠"
"deporte,fútbol","⚽🏆"
"arte,pintura","🎨🖌️"
"fiesta,celebración","🎉🥳"
"chocolate,dulce","🍫😋"
"helado,verano","🍦🌞"
"trabajo,esfuerzo","💼💪"
"tecnología,innovación","💻🚀"
"vino,cena","🍷🍽️"
"paseo,parque","🚶‍♂️🌳"
"café,mañana","☕🌅"
"correr,ejercicio","🏃‍♂️💪"
"flor,primavera","🌸🌼"
"cielo,nocturno","🌌⭐"
"mar,olas","🌊🏄‍♂️"
"sol,calor","☀️🔥"
"paz,meditación","🧘‍♂️😌"
"lectura,paz","📚😌"
"bicicleta,parque","🚴‍♂️🌳"
"noche,luna","🌙🌌"
"montaña,escalar","🏔️🧗‍♂️"
"amor,pareja","❤️💏"
"música,danzar","🎶💃"
"comida,hamburguesa","🍔🍟"
"invierno,manta","❄️🛋️"
"verano,piscina","☀️🏊‍♂️"
"nieve,esquí","❄️🎿"
"viaje,explorar","✈️🗺️"
"chocolate,postre","🍫🍰"
"cine,acción","🎬💥"
"reloj,tiempo,puntualidad","⌚🕒⏰"
"clima,invernal,muñeco de nieve","☃️⛄❄️"
"paraguas,lluvia,protección","☔️🌧️🌂"
"pirata,aventura,peligro","☠️⚓🏴‍☠️"
"médico,hospital,salud","⚕️🏥💉"
"engranaje,tecnología,mecánica","⚙️🔧🔨"
"electricidad,rayo,potencia","⚡️💥🔋"
"golf,deporte,campo","⛳️🏌️‍♂️⛳️"
"esquí,invierno,diversión","⛷️🎿❄️"
"baloncesto,deporte,cancha","⛹️‍♂️🏀⛹️‍♀️"
"estrella,noche,brillo","⭐️🌌✨"
"bandera,orgullo,nacionalidad","🇯🇵🇮🇳🇺🇸"
"amanecer,naturaleza,belleza","🌄🌅🌇"
"ciudad,edificios,vida nocturna","🌆🏙️🌃"
"arcoíris,lluvia,esperanza","🌈☔️🌦️"
"galaxia,espacio,exploración","🌌🚀✨"
"niebla,frío,mañana","🌫️❄️🌬️"
"palmera,verano,playa","🌴🏖️🌊"
"flor,jardín,primavera","🌷🌸🌺"
"girasol,jardín,verano","🌻🌞🌼"
"cosecha,campo,naturaleza","🌾🌱🌿"
"hojas,otoño,viento","🍁🍂🍃"
"tomate,ensalada,cocina","🍅🥗🍽️"
"uvas,fruta,viñedo","🍇🍷🍇"
"sandía,verano,refrescante","🍉🍉☀️"
"plátano,fruta,energía","🍌🍌🍏"
"manzana,fruta,salud","🍎🍏🍎"
"cereza,fruta,dulce","🍒🍒🍓"
"fresa,fruta,dulce","🍓🍒🍇"
"patatas fritas,comida,rápida","🍟🍔🍕"
"helado,verano,dulce","🍧🍨🍦"
"miel,dulce,natural","🍯🐝🌻"
"sushi,comida,japonesa","🍣🍱🍣"
"cóctel,bebida,verano","🍹🍸🍷"
"cerveza,brindis,fiesta","🍻🥂🍺"
"champán,celebración,fiesta","🍾🥂🍾"
"calabaza,halloween,terror","🎃👻👹"
"navidad,árbol,familia","🎄🎅🎁"
"fuegos artificiales,celebración,fiesta","🎆🎇🎉"
"mochila,vacaciones,viaje","🎒🧳🌍"
"graduación,educación,logro","🎓🎉🎓"
"micrófono,música,canción","🎙️🎤🎼"
"cámara,fotografía,recuerdos","📸🎞️📷"
"auriculares,música,escuchar","🎧🎶🎧"
"sombrero,elegancia,moda","🎩👒👗"
"circo,diversión,espectáculo","🎪🤡🎟️"
"diana,objetivo,precisión","🎯🎯🏹"
"juego,diversión,niños","🎲🧸🎮"
"violín,música,clásica","🎻🎶🎼"
"partitura,música,compositor","🎼🎵🎶"
"navegación,barco,viaje","🚢⚓🛳️"
"vehículo,automóvil,carretera","🚗🚙🏎️"
"bicicleta,deporte,aire libre","🚴‍♂️🚵‍♀️🚲"
"moto,velocidad,carretera","🏍️🛵🚦"
"tren,vía férrea,transporte","🚂🚆🚇"
"avión,vuelos,viaje","✈️🛫🛬"
"cohete,espacio,exploración","🚀🌌🛰️"
"cuchillo,cocina,peligro","🔪🍽️🧂"
"lupa,búsqueda,investigación","🔍🔎🕵️‍♂️"
"llave,seguridad,candado","🔑🔒🔓"
"martillo,herramientas,trabajo","🔨🔧🛠️"
"microscopio,laboratorio,ciencia","🔬🧪🔬"
"bola de cristal,magia,hechizo","🔮✨🧙‍♀️"
"vela,luz,calidez","🕯️🕯️🎃"
"detective,intriga,misterio","🕵️‍♂️🔍🕵️‍♀️"
"gafas de sol,verano,estilo","🕶️😎🌞"
"joystick,juegos,diversión","🕹️🎮🎲"
"bolígrafo,escribir,notas","🖊️📝📒"
"pincel,pintura,arte","🖌️🎨🖼️"
"ratón,computadora,tecnología","🖱️💻🖥️"
"mapa,exploración,viaje","🗺️🗺️🌍"
"moai,isla,cultura","🗿🗿🌋"
"contento,feliz,alegre","😀😃😄"
