ingredientes,receta
"huevos,patatas,sal,cebolla","Tortilla de patatas"
"huevos,sal","Tortilla francesa"
"tomate,queso,pan","Sándwich de tomate y queso"
"pollo,arroz,especias","Pollo con arroz"
"pasta,queso,tomate","Pasta con queso y tomate"
"huevos,jamón,queso","Tortilla de jamón y queso"
"pescado,limón,especias","Pescado al limón"
"arroz,frijoles,especias","Arroz con frijoles"
"carne,patatas,cebolla","Carne asada con patatas"
"harina,azúcar,huevos","Bizcocho"
"espinacas,queso,tomate","Ensalada de espinacas"
"pollo,limón,ajo","Pollo al ajo"
"carne,pan,tomate","Hamburguesa"
"pasta,aceite de oliva,ajo","Pasta al ajo"
"pimiento,cebolla,pollo","Fajitas de pollo"
"carne,cebolla,pan","Bocadillo de carne"
"arroz,pimiento,pollo","Paella"
"huevos,leche,azúcar","Flan"
"fresas,leche,azúcar","Batido de fresas"
"harina,agua,levadura","Pan"
"manzana,canela,azúcar","Tarta de manzana"
"leche,cacao,azúcar","Chocolate caliente"
"papa,queso,mantequilla","Papas gratinadas"
"calabacín,queso,aceite","Calabacín al horno"
"atún,mayonesa,pan","Sándwich de atún"
"fideos,salsa de soja,verduras","Fideos salteados"
"pavo,especias,mantequilla","Pavo asado"
"harina,levadura,agua,sal","Pizza"
"pechuga de pollo,ajo,limón","Pollo al limón"
"garbanzos,ajo,aceite de oliva","Hummus"
"queso,pan,aceitunas","Bocadillo de queso"
"espinacas,nueces,queso azul","Ensalada de espinacas"
"lentejas,chorizo,pimientos","Lentejas con chorizo"
"berenjena,tomate,queso","Berenjenas a la parmesana"
"arroz,leche,canela","Arroz con leche"
"caldo de pollo,fideos,zanahoria","Sopa de pollo"
"pan,aceite de oliva,tomate","Pan con tomate"
"pasta,tomate,albahaca","Pasta al pomodoro"
"arroz,pollo,cebolla,azafrán","Arroz con pollo"
"salmón,limón,eneldo","Salmón al horno"
"carne de res,pan de hamburguesa,queso","Hamburguesa de res"
"pimiento,arroz,carne molida","Pimientos rellenos"
"pollo,leche de coco,curry","Pollo al curry"
"calabaza,zanahoria,caldo","Crema de calabaza"
"zanahoria,patata,cebolla","Puré de zanahoria"
"cebolla,ajo,tomate,orégano","Salsa de tomate"
"plátano,harina,huevos","Pancakes de plátano"
"pan,ajo,mantequilla","Pan de ajo"
