ingredientes,receta
"atún,cebolla,pimiento,aceite,sal","ensalada de pimientos"
"pollo,arroz,zanahoria,cebolla,ajo","arroz con pollo"
"tomate,albahaca,mozzarella,aceite,sal","ensalada caprese"
"carne molida,cebolla,pimiento,ajo,comino","tacos de carne"
"pasta,tomate,albahaca,ajo,queso parmesano","pasta al pesto"
"pan,huevo,leche,azúcar,mantequilla","tostadas francesas"
"lentejas,zanahoria,cebolla,pimiento,comino","lentejas estofadas"
"papas,aceite,sal,pimentón","papas fritas"
"espinacas,queso feta,nueces,aceite,vinagre","ensalada de espinacas"
"pescado,limón,eneldo,aceite,sal","pescado al horno"
"pollo,crema,champiñones,cebolla,ajo","pollo a la crema"
"brócoli,ajo,aceite,sal,limón","brócoli al vapor"
"camarones,ajo,aceite,limón,perejil","camarones al ajillo"
"calabacín,tomate,cebolla,ajo,queso","calabacín relleno"
"pan,tomate,ajo,aceite,sal","pan con tomate"
"carne de cerdo,pimientos,cebolla,aceite,ajo","salteado de cerdo"
"calamares,aceite,ajo,perejil,limón","calamares a la plancha"
"yogur,miel,nueces,frutas","yogur con frutas"
"espaguetis,tomate,albahaca,ajo,queso","espaguetis a la marinara"
"patatas,cebolla,pimiento,aceite,sal","tortilla española"
"pavo,espinacas,queso,pan,huevo","rollitos de pavo"
"tortillas de maíz,frijoles,queso,lechuga,salsa","burritos vegetarianos"
"zanahoria,manzana,pasas,nueces,miel","ensalada de zanahoria"
"pollo,pimientos,cebolla,aceite,especias","pollo a la barbacoa"
"queso,espárragos,huevo,pan,mantequilla","tostadas con espárragos"
"tomate,pepino,cebolla,aceite,vinagre","ensalada griega"
"pasta,crema,queso,jamón,guisantes","pasta a la carbonara"
"filetes de res,ajo,aceite,sal,pimienta","filetes a la plancha"
"pan,tomate,jamón,aceite,sal","tosta de jamón ibérico"
"pollo,miel,mostaza,ajo,limón","pollo a la miel y mostaza"
"pimientos,berenjena,calabacín,tomate,ajo","ratatouille"
"merluza,limón,aceite,sal,pimienta","merluza al horno"
"queso,espinacas,huevo,pan,mantequilla","huevos al horno con espinacas"
"carne de res,cebolla,ajo,pimiento,tomate","carne guisada"
"mango,aguacate,cebolla,cilantro,limón","ensalada de mango y aguacate"
"pasta,crema,champiñones,cebolla,ajo","pasta con champiñones"
"arroz,zanahoria,guisantes,huevo,soja","arroz frito"
"manzana,canela,azúcar,harina,mantequilla","tarta de manzana"
"pollo,tomate,cebolla,ajo,especias","pollo al tomate"
"fideos,huevo,verduras,soja,aceite","fideos chinos"
"pescado,ajo,perejil,limón,aceite","pescado a la plancha"
"pan,jamón,queso,tomate,aceite","sandwich de jamón y queso"
"calabaza,cebolla,ajo,crema,especias","crema de calabaza"
"frutas,yogurt,miel,nueces","smoothie de frutas"
"pan,tomate,ajo,aceite,sal","bruschetta"
"pollo,guisantes,zanahoria,cebolla,caldo","pollo con guisantes"
"espaguetis,tomate,albahaca,ajo,queso","espaguetis al tomate"
"calamares,cebolla,ajo,tomate,pimientos","calamares en salsa"
"patatas,aceite,sal,romero","patatas al horno"
"lechuga,tomate,pepino,aguacate,vinagreta","ensalada mixta"
"pollo,papas,cebolla,ajo,pimiento","pollo asado con papas"
"queso,pan,tomate,ajo,aceite","tostas de queso"
"espinacas,huevo,queso,pan,cebolla","tarta de espinacas"
"pasta,salsa de tomate,carne,queso,ajo","pasta con carne"
"berenjena,tomate,queso,aceite,ajo","berenjenas al horno"
"pescado,pimientos,cebolla,aceite,sal","pescado con pimientos"
"manzana,yogur,miel,nueces","ensalada de manzana"
"pasta,crema,bacon,cebolla,queso","pasta con bacon"
"pollo,arroz,guisantes,zanahoria,cebolla","paella de pollo"
"calabacín,tomate,cebolla,queso,aceite","calabacín al horno"
"pan,tomate,aceite,ajo,sal","pan al ajo"
"carne de cerdo,zanahoria,cebolla,pimiento,salsa de soja","cerdo agridulce"
"queso,espinacas,pan,huevo,mantequilla","sandwich de espinacas"
"pasta,tomate,albahaca,ajo,aceite","pasta al estilo italiano"
"arroz,pollo,zanahoria,cebolla,guisantes","arroz con pollo y verduras"
"calamares,ajo,perejil,limón,aceite","calamares fritos"
"patatas,aceite,sal,pimentón","papas al pimentón"
"pasta,crema,champiñones,cebolla,queso","pasta con crema y champiñones"
"pollo,pimientos,cebolla,aceite,especias","pollo con pimientos"
"queso,espárragos,pan,huevo,mantequilla","huevos con espárragos"
"manzana,canela,azúcar,harina,mantequilla","tarta de manzana"
"pasta,tomate,albahaca,ajo,parmesano","espaguetis con parmesano"
"carne molida,cebolla,ajo,pimiento,tomate","empanadas de carne"
"pollo,zanahoria,cebolla,guisantes,tomate","pollo con guisantes y zanahoria"
"calabacín,queso,pan,aceite,ajo","calabacín con queso al horno"
"arroz,pollo,cebolla,pimiento,especias","arroz con pollo al estilo"
"pasta,crema,espinacas,queso,ajo","pasta con espinacas y crema"
"patatas,queso,crema,cebolla,sal","patatas gratinadas con queso"
"pescado,limón,aceite,perejil,ajo","pescado al limón"
"calamares,pimiento,cebolla,ajo,aceite","calamares en su tinta"
"espaguetis,tomate,albahaca,queso,aceite","espaguetis con albahaca"
"pollo,papas,cebolla,pimiento,ajo","pollo y papas al horno"
"queso,pan,tomate,ajo,aceite","tostadas con tomate y queso"
"manzana,yogur,miel,frutas","yogur con frutas y miel"
"pasta,champiñones,crema,queso,ajo","pasta con champiñones"
"calabacín,tomate,queso,pan,aceite","calabacín gratinado"
"carne de cerdo,cebolla,pimiento,ajo,salsa de soja","cerdo salteado"
"pollo,cebolla,ajo,zanahoria,guisantes","pollo con verduras al horno"
"pasta,salsa de tomate,carne,queso,ajo","pasta boloñesa"
"espinacas,queso,pan,huevo,cebolla","tarta de espinacas y queso"
"pan,tomate,aceite,ajo,sal","pan con ajo y tomate"
"pescado,cebolla,ajo,limón,pimientos","pescado a la parrilla"
"queso,espárragos,pan,huevo,aceite","tostadas con espárragos y queso"
"calamares,ajo,perejil,limón,pimientos","calamares al pimiento"
"arroz,pollo,zanahoria,cebolla,pimiento","arroz con pollo y zanahoria"
